,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
2571,기아,K5 2세대,렌터카 2.0 LPI MX 럭셔리,13500000,17년07월(18년형),"40,142km",LPG,오토,정보없음,중형,0cc,검정색,정보없음,없음,없음,사고없음,없음,없음,있음,3회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2572,기아,K5,가솔린 2.0 프레스티지,8000000,11년10월(12년형),"88,703km",가솔린,오토,정보없음,중형,"2,000cc",회색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
2573,기아,K5 2세대,렌터카 2.0 LPI MX 프레스티지,14900000,16년11월(17년형),"40,000km",LPG,오토,9.4Km,중형,"1,999cc",검정,없음,없음,1 건,사고없음,없음,없음,있음,2회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2574,기아,K5,가솔린 2.0 프레스티지,6600000,11년04월(11년형),"150,034km",가솔린,오토,정보없음,중형,0cc,회색,정보없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
2575,기아,더 뉴 K5,트렌디,12900000,14년02월(14년형),"104,983km",가솔린,오토,11.9Km,중형,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2576,기아,K5,가솔린 2.0 디럭스,7500000,10년06월(11년형),"76,000km",가솔린,오토,정보없음,중형,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
2577,기아,K5,가솔린 2.0 디럭스,7500000,10년06월(11년형),"87,000km",가솔린,오토,정보없음,중형,"1,998cc",흰색,없음,없음,1 건,사고있음,없음,없음,없음,3회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2578,기아,K5 2세대,2.0 가솔린 MX 럭셔리,15900000,17년05월(18년형),"20,000km",가솔린,오토,정보없음,중형,"1,999cc",검정,없음,없음,1 건,사고없음,없음,없음,있음,1회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2579,기아,K5 하이브리드,노블레스,7600000,12년07월(13년형),"170,000km",하이브리드(가솔린),오토,16.8Km,중형,0cc,흰색,없음,없음,1 건,사고있음,없음,없음,없음,6회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2580,기아,K5 하이브리드,럭셔리,10200000,13년12월(14년형),"100,000km",하이브리드(가솔린),오토,16.8Km,중형,"1,999cc",회색,없음,없음,없음,사고있음,없음,없음,없음,4회,보통,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
