,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
14,기아,뉴모닝,SLX 고급형,2400000,09년06월(09년형),"61,203km",가솔린,오토,정보없음,경차,999cc,은색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
15,기아,all new 모닝,럭셔리 스포츠,4300000,11년11월(12년형),"143,674km",가솔린,오토,정보없음,경차,998cc,쥐색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
16,기아,더 뉴 모닝,럭셔리,7700000,16년02월(16년형),"18,210km",가솔린,오토,정보없음,경차,998cc,검정색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1
17,기아,더 뉴 모닝,럭셔리,6300000,16년08월(16년형),"52,600km",가솔린,오토,정보없음,경차,"1,000cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,많음,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
18,기아,더 뉴 모닝,럭셔리,6000000,15년08월(16년형),"72,590km",가솔린,오토,정보없음,경차,0cc,회색,정보없음,없음,없음,사고없음,없음,없음,없음,2회,많음,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
19,기아,올 뉴 모닝(JA),럭셔리,9200000,19년02월(19년형),"22,429km",가솔린,오토,16.0Km,경차,998cc,진주색,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
20,기아,올 뉴 모닝(JA),럭셔리,7390000,17년05월(17년형),"66,555km",가솔린,오토,16.0Km,경차,0cc,진주,없음,없음,없음,사고없음,없음,없음,있음,3회,많음,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1
21,기아,뉴모닝,LX 기본형 블랙프리미엄,2900000,09년05월(09년형),"91,581km",가솔린,오토,정보없음,경차,999cc,흰색,없음,없음,없음,사고있음,없음,없음,없음,8회,보통,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,기아,all new 모닝밴,2인승밴 일반형,2500000,12년05월(12년형),"230,000km",가솔린,오토,정보없음,경차,998cc,흰색,없음,없음,없음,사고있음,없음,없음,있음,5회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,기아,더 뉴 모닝,럭셔리,7250000,15년01월(16년형),"76,929km",가솔린,오토,정보없음,경차,998cc,진주색,없음,없음,없음,사고없음,없음,없음,없음,없음,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,기아,all new 모닝,디럭스,4990000,14년02월(14년형),"91,621km",가솔린,오토,17.0Km,경차,998cc,흰색,없음,없음,없음,사고있음,없음,없음,있음,3회,많음,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1
25,기아,올 뉴 모닝(JA),프레스티지,12200000,20년04월(20년형),"10,598km",가솔린,오토,14.7Km,경차,998cc,흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,많음,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
26,기아,더 뉴 모닝,스포츠 런 하이,7100000,15년09월(16년형),"59,000km",가솔린,오토,정보없음,경차,998cc,진주색,없음,없음,없음,사고없음,없음,없음,없음,4회,보통,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
27,기아,all new 모닝,디럭스 스페셜,3300000,12년08월(13년형),"91,100km",가솔린,수동,17.0Km,경차,998cc,진주색,없음,없음,없음,사고없음,없음,없음,없음,2회,보통,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1
28,기아,올 뉴 모닝(JA),럭셔리,10800000,19년07월(20년형),"5,228km",가솔린,오토,15.4Km,경차,998cc,흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
29,기아,all new 모닝,디럭스 스페셜,3400000,11년07월(12년형),"102,277km",가솔린,오토,17.0Km,경차,998cc,흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
30,기아,all new 모닝밴,2인승밴 일반형,3400000,14년05월(14년형),"50,851km",가솔린,오토,정보없음,경차,998cc,흰색,없음,없음,없음,사고있음,없음,없음,있음,4회,보통,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,기아,뉴모닝,LX 기본형 블랙프리미엄,1900000,09년10월(10년형),"100,624km",가솔린,오토,정보없음,경차,0cc,흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,기아,all new 모닝,디럭스 트렌디,5900000,13년09월(14년형),"44,261km",가솔린,오토,17.0Km,경차,0cc,회색,정보없음,없음,없음,사고없음,없음,없음,없음,2회,짧음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,기아,올 뉴 모닝(JA),프레스티지,11060000,18년10월(18년형),"6,609km",가솔린,오토,정보없음,경차,998cc,흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
34,기아,더 뉴 모닝,럭셔리,7200000,15년06월(16년형),"19,881km",가솔린,오토,정보없음,경차,998cc,흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
