,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
76,기아,봉고3,1톤 내장탑차 킹캡 하이탑,10400000,16년07월(16년형),"20,000km",디젤,수동,정보없음,트럭,"2,498cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
77,기아,봉고3,4WD 장축 킹캡 GX,7990000,10년03월(10년형),"68,311km",디젤,수동,정보없음,트럭,0cc,초록색,정보없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
78,기아,봉고3,1톤 초장축 킹캡 CRDi DLX GX,8500000,15년04월(15년형),"44,878km",디젤,수동,정보없음,트럭,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,있음,2회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,기아,봉고3,1톤 킹캡 초장축 CRDi 디럭스,10500000,17년03월(17년형),"64,088km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,3회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,기아,봉고3,1톤 초장축 킹캡 CRDi 프레스티지,8600000,14년10월(14년형),"48,904km",가솔린,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,기아,봉고3,1톤 초장축 표준캡 CRDi DLX DLX,9500000,16년01월(16년형),"49,720km",디젤,수동,정보없음,트럭,"2,497cc",파랑색,없음,없음,없음,사고없음,없음,없음,없음,2회,짧음,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,기아,봉고3,1톤 윙바디 초장축 수동식 킹캡 럭셔리,12900000,14년08월(14년형),"9,513km",디젤,수동,정보없음,트럭,"2,359cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0
83,기아,봉고3,1톤 내장탑차 초장축 표준형 킹캡 럭셔리,5900000,12년11월(13년형),"134,170km",디젤,수동,정보없음,트럭,0cc,흰색,없음,없음,없음,사고없음,없음,없음,없음,3회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,기아,봉고3,1톤 내장탑차 킹캡 하이탑,5200000,10년08월(10년형),"132,720km",디젤,오토,정보없음,트럭,"2,902cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,4회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,기아,봉고3,크레인,11000000,07년11월(08년형),"97,100km",디젤,수동,정보없음,트럭,"2,902cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
