,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
96,기아,카니발,그랜드카니발 GX 그랜드 팩,7800000,11,135111,디젤,오토,10.7,RV,2199,빨강(주홍),0,없음,없음,사고있음,없음,없음,없음,7,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8861553078538614
97,기아,카니발,프레지던트 11인승,5300000,9,180424,디젤,오토,10.7,RV,2902,파랑,0,없음,없음,사고있음,없음,없음,없음,5,보통,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,-1.119497499817648
98,기아,카니발,9인승 2.2 디젤 노블레스,23400000,17,96233,디젤,오토,10.7,RV,2199,흰색,0,없음,없음,사고없음,없음,없음,있음,1,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.5698999700001666
99,기아,카니발,GX 그랜드 팩,4500000,8,156454,디젤,오토,10.7,RV,2900,은색,0,없음,없음,사고있음,없음,없음,없음,5,짧음,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1.1941670012460597
100,기아,카니발,그랜드카니발 GX 기본형,8000000,11,94881,디젤,오토,10.7,RV,2200,은색,0,없음,없음,사고있음,없음,없음,없음,4,짧음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8674879324967585
101,기아,카니발,9인승 2.2 디젤 럭셔리,23000000,18,49255,디젤,오토,10.7,RV,2199,흰색,0,없음,없음,사고없음,없음,없음,있음,2,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.5325652192859607
102,기아,카니발,LPI GX 고급형,5700000,9,155805,LPG,오토,10.7,RV,1998,은색,0,없음,없음,사고있음,없음,없음,없음,0,보통,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-1.082162749103442
103,기아,카니발,9인승 2.2 디젤 럭셔리,16500000,16,119551,디젤,오토,10.3,RV,2198,흰색,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,-0.07412447981988428
104,기아,카니발,GLX 기본형,3800000,9,141655,디젤,수동,10.7,RV,2697,흰색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,-1.2595028149959198
105,기아,카니발,9인승 3.3 가솔린 하이리무진 노블레스,31500000,16,86101,가솔린,오토,8.3,RV,2199,검정,0,없음,없음,사고있음,없음,없음,없음,3,많음,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1.325928671962835
